Chemicals	rxns	rxnNames	formulas	grRules	c	lb	ub	proteins	kcats	MWs	EC_number	¦Ì	qO2	ATP	Medium	Carbon source	deletion	
L-phenylacetylcarbinol	L-phenylacetylcarbinol_14	Benzoic Acid exchange	Benzoic Acid[e] =>		0	0	1000											
																		
3-hydroxypropanoate-malcoa	3-hydroxypropanoate-malcoa_1	Malonyl-CoA reductase	2 H+[c] + malonyl-CoA[c] + 2 NADPH[c] => coenzyme A[c] + 2 NADP(+)[c] + 3-hydroxypropanoate[c]	MCRca	0	0	1000	Q6QQP7	50	300	1.2.1.75	0.1			Min	glucose		
3-hydroxypropanoate-malcoa	3-hydroxypropanoate-malcoa_2	3-hydroxypropionate transport	3-hydroxypropanoate[c] => 3-hydroxypropanoate[e]		0	0	1000											
3-hydroxypropanoate-malcoa	3-hydroxypropanoate-malcoa_3	3-hydroxypropionate exchange	3-hydroxypropanoate[e] =>		1	0	1000											
																		
3-hydroxypropanoate-asp	3-hydroxypropanoate-asp_1	3-hydroxypropionate dehydrogenase	H+[c] + NADPH[c] + 3-oxopropanoate[c] => NADP(+)[c] + 3-hydroxypropanoate[c]	fdyG	0	0	1000	P39831	115	27.249	1.1.1.298	0.1			Min	glucose		
3-hydroxypropanoate-malcoa	3-hydroxypropanoate-asp_2	3-hydroxypropionate transport	3-hydroxypropanoate[c] => 3-hydroxypropanoate[e]		0	0	1000											
4-hydroxypropanoate-asp	3-hydroxypropanoate-asp_3	3-hydroxypropionate exchange	3-hydroxypropanoate[e] =>		1	0	1000					 						
4-hydroxypropanoate-malcoa	3-hydroxypropanoate-asp_4	beta-alanine-pyruvate aminotransferase	beta-alanine[c] + pyruvate[c] => L-alanine[c] + 3-oxopropanoate[c]	bcere0029_32090	0	0	1000											
5-hydroxypropanoate-asp	3-hydroxypropanoate-asp_5	aspartate 1-decarboxylase	H+[c] + L-aspartate[c] => beta-alanine[c] + carbon dioxide[c]	A7U8C7	0	0	1000	A7U8C7	7.03	61.24	4.1.1.11							
5-hydroxypropanoate-malcoa	r_4572	beta-alanine:2-oxoglutarate aminotransferase	2-oxoglutarate[c] + beta-alanine[c] => L-glutamate[c] + 3-oxopropanoate[c]	YGR019Wly	0	0	1000	P17649ly	0.1324	52.946	2.6.1.19							
																		
FFA	FFA_1	FFAs Biosyntheis	decanoate[e] + laurate[e] + myristate[e] + palmitate[e] + palmitoleate[e] + stearate[e] + oleate[e] => Free fatty acid[e]		0	0	1000					0.03			Min	glucose	YGL205W,YOR317W,YMR246W,YMR110C,YDL078C	
FFA	FFA_2	FFAs exchange	Free fatty acid[e] =>		1	0	1000											
FFA	FFA_3	malic enzyme	(S)-malate[m] + NAD[m] => carbon dioxide[m] + NADH[m] + pyruvate[m]	ME	0	0	1000				1.1.1.38							
FFA	FFA_4	ATP:citrate lyase	ATP[c] + citrate[c] + coenzyme A[c] => acetyl-CoA[c] + ADP[c] + oxaloacetate[c] + phosphate[c]	ACL	0	0	1000	Q91V92	27.1383	120	2.3.3.8							
FFA	FFA_5	fatty acid synthase (C16:0)	acetyl-CoA[c] + 21 H+[c] + 7 malonyl-CoA[c] + 14 NADPH[c] => 7 carbon dioxide[c] + 7 coenzyme A[c] + 7 H2O[c] + 14 NADP(+)[c] + palmitoyl-CoA[c]	FAS1,FAS2	0	0	1000	A0A2Z6EZ44,A0A2Z6EYW1	4.16	318.115,137.582								
FFA	FFA_6	fatty acid synthase (C18:0)	acetyl-CoA[c] + 24 H+[c] + 8 malonyl-CoA[c] + 16 NADPH[c] => 8 carbon dioxide[c] + 8 coenzyme A[c] + 8 H2O[c] + 16 NADP(+)[c] + stearoyl-CoA[c]	FAS1,FAS2	0	0	1000	A0A2Z6EZ44,A0A2Z6EYW1	4.16	318.115,137.582								
FFA	FFA_7	fatty acid synthase (C14:0)	acetyl-CoA[c] + 18 H+[c] + 6 malonyl-CoA[c] + 12 NADPH[c] => 6 carbon dioxide[c] + 6 coenzyme A[c] + 6 H2O[c] + 12 NADP(+)[c] + myristoyl-CoA[c]	FAS1,FAS2	0	0	1000	A0A2Z6EZ44,A0A2Z6EYW1	4.16	318.115,137.582								
FFA	FFA_8	fatty acid synthase (C12:0)	acetyl-CoA[c] + 15 H+[c] + 5 malonyl-CoA[c] + 10 NADPH[c] => 5 carbon dioxide[c] + 5 coenzyme A[c] + 5 H2O[c] + 10 NADP(+)[c] + lauroyl-CoA[c]	FAS1,FAS2	0	0	1000	A0A2Z6EZ44,A0A2Z6EYW1	4.16	318.115,137.582								
FFA	FFA_9	fatty acid synthase (C10:0)	acetyl-CoA[c] + 12 H+[c] + 4 malonyl-CoA[c] + 8 NADPH[c] => 4 carbon dioxide[c] + 4 coenzyme A[c] + 4 H2O[c] + 8 NADP(+)[c] + decanoyl-CoA[c]	FAS1,FAS2	0	0	1000	A0A2Z6EZ44,A0A2Z6EYW1	4.16	318.115,137.582								
FFA	FFA_10	thioesterase (C16:0)	palmitoyl-CoA[c] + H2O[c] => coenzyme A[c] + palmitate[c] + H+[c]	tesA	0	0	1000	P0ADA1	10.13	23.622	3.1.2.2							
FFA	FFA_11	thioesterase (C18:0)	stearoyl-CoA[c] + H2O[c] => coenzyme A[c] + stearate[c] + H+[c]	tesA	0	0	1000	P0ADA1	10.13	23.622	3.1.2.2							
FFA	FFA_12	thioesterase (C18:1)	oleoyl-CoA[c] + H2O[c] => coenzyme A[c] + oleate[c] + H+[c]	tesA	0	0	1000	P0ADA1	10.13	23.622	3.1.2.2							
FFA	FFA_13	thioesterase (C10:0)	decanoyl-CoA[c] + H2O[c] => coenzyme A[c] + decanoate[c] + H+[c]	tesA	0	0	1000	P0ADA1	10.13	23.622	3.1.2.2							
FFA	FFA_14	thioesterase (C12:0)	lauroyl-CoA[c] + H2O[c] => coenzyme A[c] + laurate[c] + H+[c]	tesA	0	0	1000	P0ADA1	10.13	23.622	3.1.2.2							
FFA	FFA_15	thioesterase (C14:0)	myristoyl-CoA[c] + H2O[c] => coenzyme A[c] + myristate[c] + H+[c]	tesA	0	0	1000	P0ADA1	10.13	23.622	3.1.2.2							
FFA	FFA_16	thioesterase (C16:1)	palmitoleoyl-CoA(4-)[c] + H2O[c] => coenzyme A[c] + palmitoleate[c] + H+[c]	tesA	0	0	1000	P0ADA1	10.13	23.622	3.1.2.2							
																		
Succinic acid	Succinic acid_1	Fumarate hydratase	fumarate[c] + H2O[c] => (S)-malate[c] 	FumC	0	0	1000	A0A024L3D9	1150	50.489	4.2.1.2	0.25			Min	glucose	YLR044C,YLR134W,YGR087C,YPL262W,YER065C,YNL117W	
Succinic acid	Succinic acid_2	Fumarate hydratase	(S)-malate[c] => fumarate[c] + H2O[c] 	FumC	0	0	1000	A0A024L3D9	11.2	50.489	4.2.1.2							
Succinic acid	r_1671_REV				0	0	1											
Succinic acid	r_2056				1	0	Inf											
																		
Nicotianamine	Nicotianamine_1	5,10-methylenetetrahydrofolate reductase (NADPH)	5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]	MTHFR1	0	0	1000	Q9SE60	0.0353536	66.288	1.5.1.20	0.1			YEP	glucose	YGL125W	
Nicotianamine	Nicotianamine_2	5,10-methylenetetrahydrofolate reductase (NADPH)	5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADH[c] => 5-methyltetrahydrofolate[c] + NAD[c]	MTHFR1	0	0	1000	Q9SE60	0.0364584	66.288	1.5.1.20							
Nicotianamine	Nicotianamine_3	Nicotianamine synthase	3 S-adenosyl-L-methionine[c] => 3 H+[c] + Nicotianamine[c] + 3 5'-S-methyl-5'-thioadenosine [c]	NAS2	0	0	1000	Q9FKT9		35.679	2.5.1.43							
Nicotianamine	Nicotianamine_4	nicotianamine transport	Nicotianamine[c] => Nicotianamine[e]		0	0	1000											
Nicotianamine	Nicotianamine_5	nicotianamine exchaneg	Nicotianamine[e] =>		1	0	1000											
Nicotianamine	r_1810_REV				0	0	1											
Nicotianamine	r_1793_REV				0	0	1											
Nicotianamine	r_0080No2				0	0	0											
																		
Psilocybin	Psilocybin_1	tryptophan decarboxylase	L-tryptophan[c] => tryptamine[c] + carbon dioxide[c]	CrTdc	0	0	1000	A0A3S7SKS7	3.33	56.221	4.1.1.105	0.1			Min	glucose	YBR249C	
Psilocybin	Psilocybin_2	Tryptamine 4-monooxygenase	tryptamine[c] + oxygen[c] => 4-hydroxytryptamine[c] + H2O[c]	PcpsiH	0	0	1000	P0DPA7		57.515	1.14.99.59							
Psilocybin	Psilocybin_3	4-hydroxytryptamine kinase	4-hydroxytryptamine[c] + ATP[c] => norbaeocystin[c] + ADP[c] + H+[c]	PcPsiK	0	0	1000	P0DPA8		40.442	2.7.1.222							
Psilocybin	Psilocybin_4	N-methyltransferase	norbaeocystin[c] + 2 S-adenosyl-L-methionine[c] => 2 H+[c] + psilocybin[c] + 2 S-adenosyl-L-homocysteine[c]	PcPsiM	0	0	1000	P0DPA9		34.434	2.1.1.345							
Psilocybin	Psilocybin_5	spontaneous reaction	psilocybin[c] => psilocin[c]		0	0	1000											
Psilocybin	Psilocybin_6	4-hydroxytryptamine kinase	ATP[c] + psilocin[c] => ADP[c] + psilocybin[c]	PcPsiK	0	0	1000	P0DPA8		40.442	2.7.1.222							
Psilocybin	r_0997No1	shikimate dehydrogenase	ATP[c] + shikimate[c] => 3-phosphoshikimic acid[c] + ADP[c] + H+[c]	YDR127W	0	0	1000	P08566	120	174.753								
Psilocybin	r_0279No1	chorismate synthase (No1)	5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] => chorismate[c] + phosphate[c]	YGL148W	0	0	1000	P28777	1.74									
Psilocybin	Psilocybin_7	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4K229L 	0	0	1000	P32449ly	0.082809792	39.7487	2.5.1.54							
Psilocybin	Psilocybin_8	Psilocybin transport	psilocybin[c] => psilocybin[e]		0	0	1000											
Psilocybin	Psilocybin_9	Psilocybin exchange	psilocybin[e] =>		1	0	1000											
																		
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_1	dehydroshikimate dehydratase	3-dehydroshikimate[c] => 3,4-Dihydroxybenzoate[c] + H2O[c]	3DSD	0	0	1000	Q86ZM4	125.055	41.685	4.2.1.118	0.3			Min	glucose	YMR318C,YLR300W	Regulatory control circuits for stabilizing long-term anabolic product formation in yeast
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_2	O-methyltransferase	3,4-Dihydroxybenzoate[c] + 5-methyltetrahydrofolate[c] => THF[c] + Vanillate[c]	OMT 	0	0	1000	P21964	4.605673333	30.037	2.1.1.341							
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_3	aromatic carboxylic acid reductase	3,4-Dihydroxybenzoate[c] + NADPH[c] + ATP[c] + H+[c] => protocatechuic aldehyde[c] + AMP[c] + diphosphate[c] + NADP(+)[c]	ACAR 	0	0	1000	Q6RKB1	4.49211	128.346	1.2.1.30							
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_4	aromatic carboxylic acid reductase	Vanillate[c] + NADH[c] + H+[c] => NAD[c] + H2O[c] + vanillin[c]	ACAR 	0	0	1000	Q6RKB1	4.49211	128.346	1.2.1.30							
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_5	O-methyltransferase	protocatechuic aldehyde[c] + 5-methyltetrahydrofolate[c] => THF[c] + vanillin[c]	OMT 	0	0	1000	P21964	4.605673333	30.037	2.1.1.341							
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_6	UDP-glycosyltransferase	UDP-D-glucose[c] + vanillin[c] => UDP[c] + H+[c] + vanillin-¦Â-glucoside[c]	UGT 	0	0	1000	Q9LVR1		52.992								
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_7	draw_prot_Q86ZM4	vanillin-¦Â-glucoside[c] => vanillin-¦Â-glucoside[e]		0	0	1000											
vanillin-¦Â-glucoside	vanillin-¦Â-glucoside_8	draw_prot_P21964	vanillin-¦Â-glucoside[e] =>		1	0	1000											
																		
Betaxanthin	Betaxanthin_1	tyrosine hydroxylase	oxygen[c] + 2 L-tyrosine[c] => 2 3,4-Dihydroxy-L-phenylalanine(L-DOPA)[c]	CYP76AD5	0	0	1000	I3PFJ5		56.212	1.14.18.1	0.1			YEP	raffinose	YBR249C	
Betaxanthin	Betaxanthin_2	L-Dopa dioxygenase	3,4-Dihydroxy-L-phenylalanine(L-DOPA)[c] + oxygen[c] => 4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde[c] + H+[c]	DOD	0	0	1000	B6F0W8	0.030171	30.171	1.13.11.29							
Betaxanthin	Betaxanthin_3	spontaneous reaction	4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde[c] + H+[c] => betalamic acid[c] + H2O[c]		0	0	1000											
Betaxanthin	Betaxanthin_4	spontaneous reaction	betalamic acid[c] + L-tyrosine[c] => betaxanthin[c] + H2O[c]		0	0	1000											
Betaxanthin	Betaxanthin_5	Betaxanthin transport	betaxanthin[c] => betaxanthin[e]		0	0	1000											
Betaxanthin	Betaxanthin_6	Betaxanthin exchange	betaxanthin[e] =>		1	0	1000											
Betaxanthin	Betaxanthin_7	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c] 	ARO4K229L	0	0	1000	P32449ly	0.082809792	39.7487	2.5.1.54							
																		
Ergosterol												0.1			Min	glucose		
Glycine												0.1			Min	glucose		
Alanine												0.1			Min	glucose		
Arginine												0.1			Min	glucose		
Asparagine												0.1			Min	glucose		
Aspartate												0.1			Min	glucose		
Cysteine												0.1			Min	glucose		
Glutamate												0.1			Min	glucose		
Glutamine												0.1			Min	glucose		
Histidine												0.1			Min	glucose		
Isoleucine												0.1			Min	glucose		
Leucine												0.1			Min	glucose		
Lysine												0.1			Min	glucose		
Methionine												0.1			Min	glucose		
Phenylalanine												0.1			Min	glucose		
Proline												0.1			Min	glucose		
Serine												0.1			Min	glucose		
Threonine												0.1			Min	glucose		
Tryptophan												0.1			Min	glucose		
Valine												0.1			Min	glucose		
Xanthine												0.1			Min	glucose		
Urea												0.1			Min	glucose		
Thymidine												0.1			Min	glucose		
Putrescine												0.1			Min	glucose		
Hypoxanthine												0.1			Min	glucose		
Hexanoate												0.1			Min	glucose		
Homoserine												0.1			Min	glucose		
Guanine												0.1			Min	glucose		
Glycerol												0.1			Min	glucose		
Citrate												0.1			Min	glucose		
Oxoglutarate												0.1			Min	glucose		
Acetaldehyde												0.1			Min	glucose		
Acetate												0.1			Min	glucose		
R,R-2,3-butanediol												0.1			Min	glucose		
Citrulline												0.1			Min	glucose		
Oleate												0.1			Min	glucose		
Spermine												0.1			Min	glucose		
Palmitoleate												0.1			Min	glucose		
Laurate												0.1			Min	glucose		
Choline												0.1			Min	glucose		
